A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,
,F,LTA (TNF-b),Lymphotoxin-alpha (TNF-beta),"LT; LT-alpha; LTA; lymphotoxin alpha; Lymphotoxin-alpha; TNF superfamily,member 1; TNF-beta; TNFB; TNFSF1; TNLG1E; truncated lymphotoxin alpha; tumor necrosis factor beta; tumor necrosis factor ligand 1E; tumor necrosis factor ligand superfamily member 1",Protein,"22,297",35-205,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,LTB,Lymphotoxin-beta,"LT-beta; LTB; lymphotoxin beta; lymphotoxin beta (TNF superfamily,member 3); Lymphotoxin-beta; p33; TNF superfamily member 3; TNF-C; TNFC; TNFSF3; TNLG1C; Tumor necrosis factor C; tumor necrosis factor ligand 1C; Tumor necrosis factor ligand superfamily member 3",Protein,"25,390",1-244,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,M-CSF,Macrophage colony-stimulating factor 1,colony stimulating factor 1; colony stimulating factor 1 (macrophage); CSF-1; CSF1; Lanimostim; M-CSF; macrophage colony stimulating factor; macrophage colony stimulating factor 1; Macrophage colony-stimulating factor 1; MCSF; MGC31930; Processed macrophage colony-stimulating factor 1,Protein,"60,179","33-554,33-450",,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,MIF,Macrophage migration inhibitory factor,epididymis secretory sperm binding protein; GIF; GLIF; Glycosylation-inhibiting factor; L-dopachrome isomerase; L-dopachrome tautomerase; Macrophage migration inhibitory factor; macrophage migration inhibitory factor (glycosylation-inhibiting factor); MIF; MMIF; Phenylpyruvate tautomerase,Protein,"12,476",2-115,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,ACTH (POMC; LPH),Adrenocorticotropic hormone (Melanocyte stimulating hormone; Lipotropin),ACTH; Adrenocorticotropic hormone; adrenocorticotropin; alpha-melanocyte-stimulating hormone; Alpha-MSH; Beta-endorphin; Beta-LPH; beta-melanocyte-stimulating hormone; Beta-MSH; CLIP; COLI; Corticotropin; Corticotropin-like intermediary peptide; Corticotropin-lipotropin; Gamma-LPH; Gamma-MSH; Lipotropin beta; Lipotropin gamma; LPH; Melanocyte-stimulating hormone alpha; Melanocyte-stimulating hormone beta; Melanotropin alpha; Melanotropin beta; Melanotropin gamma; Met-enkephalin; MSH; NPP; OBAIRH; opiomelanocortin prepropeptide; POC; POMC; Potential peptide; pro-ACTH-endorphin; Pro-opiomelanocortin; proopiomelanocortin; proopiomelanocortin preproprotein,Protein,"29,424",26-241 (Pro-opiomelanocortin); 77-87 (Melanotropin gamma); 138-150 (Melanotropin alpha); 217-234 (Melanotropin beta),PC1; PC2; ACE; NEP,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,MSH,Melanocyte stimulating hormone,alpha melanocyte stimulating hormone receptor; CMM5; MC1-R; MC1R; melanocortin 1 receptor; melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor); Melanocortin receptor 1; Melanocyte-stimulating hormone receptor; melanotropin receptor; MGC14337; MSH-R; MSHR; SHEP2,Protein,"29,424",26-241 (Pro-opiomelanocortin); 77-87 (Melanotropin gamma); 138-150 (Melanotropin alpha); 217-234 (Melanotropin beta),PC1; PC2; ACE; NEP,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
73-31-6,T,MT (Mel),Melatonin,,Small molecule,,,,234.278,896,872,CHEMBL47,https://commonchemistry.cas.org/detail?cas_rn=73-31-6&search=73-31-6,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=896,http://www.chemspider.com/Chemical-Structure.872.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL47,,ASMT,Acetylserotonin O-methyltransferase,Hydroxyindole O-methyltransferase; HIOMT,P46597,,,T,F,T,F,T,F,F,T,F,
N/A,T,PRG4 (MSF),Migration stimulating factor,Proteoglycan 4; lubricin; Megakaryocyte-stimulating factor; Superficial zone proteoglycan; CACP; HAPO; JCAP; MSF; SZP,Small molecule,"151,061",,,"151,077",N/A,N/A,N/A,https://commonchemistry.cas.org/detail?cas_rn=N/A&search=N/A,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=N/A,http://www.chemspider.com/Chemical-Structure.N/A.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/N/A,,Ribosomal,Ribosomal,Ribosomal,,,,F,F,F,T,T,F,F,T,F,
,F,MLN,Motilin,MAP; MLN; MOTI; motilin; Motilin-associated peptide; prepromotilin; Promotilin,Protein,"12,901",26 – 47,,,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
,F,MEGF6,Multiple epidermal growth factor-like domains protein 6,"EGF-like protein 3; EGF-like-domain,multiple 3; EGFL3; Epidermal growth factor-like protein 3; KIAA0815; MEGF6; multiple EGF like domains 6; Multiple EGF-like domains protein 6; multiple EGF-like-domains 6; Multiple epidermal growth factor-like domains protein 6",Protein,"161,185",31 – 1541,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,MEGF8,Multiple epidermal growth factor-like domains protein 8,"C19orf49; CRPT2; EGF-like domain-containing protein 4; EGF-like protein 4; EGF-like-domain,multiple 4; EGFL4; Epidermal growth factor-like protein 4; FLJ22365; HBV pre-s2 binding protein 1; HBV pre-S2-binding protein 1; hepatitis B virus pre-S2-binding protein 1; KIAA0817; MEGF8; MGC120684; MGC138147; multiple EGF like domains 8; multiple EGF-like domain protein 4; Multiple EGF-like domains protein 8; multiple EGF-like-domains 8; multiple epidermal growth factor-like domains 8; Multiple epidermal growth factor-like domains protein 8; Putative uncharacterized protein C19orf49; SBP1",Protein,"Isoform 1 303,100; Isoform 2 295,934; ",28-2845,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,MEGF9,Multiple epidermal growth factor-like domains protein 9,"GF-like protein 5; EGF-like-domain,multiple 5; EGFL5; Epidermal growth factor-like protein 5; KIAA0818; MEGF9; multiple EGF like domains 9; Multiple EGF-like domains protein 9; multiple EGF-like-domains 9; Multiple epidermal growth factor-like domains protein 9",Protein,"62,984",31-602,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
3106-85-2,T,NAAG,N-Acetylaspartylglutamic acid,"2-[ (2-Acetamido-4-hydroxy-4-oxobutanoyl)amino]pentanedioic acid,N-Acetyl-L-α-aspartyl-L-glutamic acid,N-Acetyl-1-aspartylglutamic acid,Spaglumic acid",Small molecule,,,,304.26,188803,164080,N/A,https://commonchemistry.cas.org/detail?cas_rn=3106-85-2&search=3106-85-2,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=188803,http://www.chemspider.com/Chemical-Structure.164080.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/N/A,,RIMKLA,N-acetylaspartylglutamate synthase A,"N-acetylaspartylglutamylglutamate synthase A,Ribosomal protein S6 modification-like protein A",Q8IXN7,,,F,F,T,F,T,F,F,T,F,
589-08-2,T,NMPEA,N-methylphenethylamine,N-Methyl-2-phenylethan-1-amine; N-Methyl-β-phenethylamine,Small molecule,,,,135.206,11503,11019,CHEMBL45763,https://commonchemistry.cas.org/detail?cas_rn=589-08-2&search=589-08-2,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11503,http://www.chemspider.com/Chemical-Structure.11019.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL45763,,PNMT,Phenylethanolamine N-methyltransferase,Noradrenaline N-methyltransferase; PNMTase,P11086,,,F,F,T,F,T,F,F,T,F,
,F,NGF,Nerve growth factor (beta),"Beta-nerve growth factor; Beta-NGF; HSAN5; MGC161426; MGC161428; nerve growth factor; nerve growth factor (beta polypeptide); nerve growth factor,beta polypeptide; nerve growth factor,beta subunit; NGF; NGFB; pro-nerve growth factor long",Protein,"26,959",122 – 241,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,NRG1,Neuregulin 1,"Acetylcholine receptor-inducing activity; ARIA; Breast cancer cell differentiation factor p45; GGF; GGF2; Glial growth factor; glial growth factor 2; Heregulin; heregulin,alpha (45kD,ERBB2 p185-activator); HGL; HRG; HRG1; HRGA; MST131; MSTP131; NDF; Neu differentiation factor; neuregulin 1; Neuregulin-1; NRG1; NRG1-IT2; Pro-neuregulin-1,membrane-bound isoform; Pro-NRG1; sensory and motor neuron derived factor; Sensory and motor neuron-derived factor; SMDF",Protein,"70,392","20-640 (Pro-neuregulin-1,membrane-bound isoform); 20-241 (Neuregulin-1)",,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,NRG2,Neuregulin 2,"Divergent of neuregulin-1; Don-1; DON1; HRG2; Neural- and thymus-derived activator for ErbB kinases; Neuregulin 2; Neuregulin-2; NRG-2; NTAK; Divergent of neuregulin-1; Don-1; HRG2; Neural- and thymus-derived activator for ErbB kinases; Neuregulin 2; NTAK; Pro-neuregulin-2,membrane-bound isoform; Pro-NRG2",Protein,"91,679","112 – 850 (Pro-neuregulin-2,membrane-bound isoform); 112 – 404 (Neuregulin-2)",,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,NRG3,Neuregulin 3,"HRG3; neuregulin 3; Neuregulin-3; neuregulin-3-like polypeptide; NRG-3; NRG3; Pro-neuregulin-3,membrane-bound isoform; Pro-NRG3",Protein,"77,901",1 – 359,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,NRG4,Neuregulin 4,"heregulin 4; HRG4; neuregulin 4; Neuregulin-4; NRG-4; NRG4; Pro-neuregulin-4,membrane-bound isoform; Pro-NRG4",Protein,"12,722",1-61,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,TAC1 (NKA),Neurokinin A (Substance P),"C-terminal-flanking peptide; Hs.2563; neurokinin 1; neurokinin 2; Neurokinin A; neurokinin alpha; Neuromedin L; Neuropeptide gamma; Neuropeptide K; NK2; NKA; NKNA; NPK; PPT; preprotachykinin; protachykinin; Protachykinin-1; Substance K; Substance P; TAC1; TAC2; tachykinin 2; tachykinin precursor 1; tachykinin,precursor 1; tachykinin,precursor 1 (substance K,substance P,neurokinin 1,neurokinin 2,neuromedin L,neurokinin alpha,neuropeptide K,neuropeptide gamma); TKN1",Protein,"15,003",98-107,,,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,NKB (TAK3),Neurokinin B,"gamma tachykinin 3; HH10; LncZBTB39; LncZBTB39-1:2; neurokinin b; neurokinin B-like protein; neurokinin beta; Neurokinin-B; neurokinin-B protein; neuromedin K; neuromedin K,neurokinin beta; Neuromedin-K; NK3; NKB; NKNB; preprotachykinin B; PRO1155; TAC3; tachykinin 3; tachykinin precursor 3; Tachykinin-3; TKNK; ZNEUROK1",Protein,"13,438","81-90,94-121",endopeptidase-24.11,,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,NMB,Neuromedin B,MGC17211; MGC2277; MGC3936; neuromedin B; Neuromedin-B; Neuromedin-B-32; neuromedin-beta; NMB,Protein,"13,252",47-56,,,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,NMS,Neuromedin S,neuromedin S precursor-related peptide/neuromedin S preproprotein; Neuromedin-S; NMS; prepro-NMS,Protein,"17,731",109-141,,,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,NMU,Neuromedin U,Neuromedin precursor-related peptide 33; Neuromedin precursor-related peptide 36; neuromedin U; neuromedin U precursor-related peptide/neuromedin U preproprotein; Neuromedin-U; Neuromedin-U-25; NMU; NmU-25; NURP33; NURP36; prepro-NMU,Protein,"19,741",142 – 166,,,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,NPY,Neuropeptide Y,C-flanking peptide of NPY; CPON; Neuropeptide tyrosine; Neuropeptide Y; NPY; prepro-neuropeptide Y; Pro-neuropeptide Y; PYY4,Protein,"10,851",29 – 64 Neuropeptide Y; 68 – 97 C-flanking peptide of NPY,FAP,,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
,F,NTS,Neurotensin (Neuromedin N),Large neuromedin N; Neuromedin N; Neurotensin; Neurotensin/neuromedin N; NEUT; NmN; NmN-125; NN; NT; NT/N; NTS; NTS1; pro-neurotensin/neuromedin; Tail peptide,Protein,19795,151 – 163 (Neurotensin); 144 – 148 (Neuromedin N); 24 – 148 (Large neuromedin N),,,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,NT3,Neurotrophin-3,HDNF; MGC129711; Nerve growth factor 2; Neurotrophic factor; neurotrophin 3; Neurotrophin-3; NGF-2; NGF2; NT-3; NT3; NTF3,Protein,"29,355",139 – 257,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,NT4,Neurotrophin-4,GLC10; GLC1O; neurotrophic factor 4; neurotrophic factor 5; neurotrophin 4; neurotrophin 5 (neurotrophin 4/5); Neurotrophin-4; Neurotrophin-5; Neutrophic factor 4; NT-4; NT-4/5; NT-5; NT4; NT5; NTF4; NTF5,Protein,"22,427",81-210,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,NRTN,Neurturin,Neurturin; NRTN; NTN; prepro-neurturin,Protein,"22,405",96-197,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,NAMPT,Nicotinamide phosphoribosyltransferase,1110035O14Rik; DKFZp666B131; MGC117256; NAmPRTase; NAMPT; Nicotinamide phosphoribosyltransferase; PBEF; PBEF1; Pre-B cell-enhancing factor; pre-B-cell colony enhancing factor 1; Pre-B-cell colony-enhancing factor 1; VF; Visfatin,Protein,"55,521",1-491,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
51-41-2,T,NRE,Noradrenaline (norepinephrine),"NE; NA; Noradrenaline; (R)- (–)-Norepinephrine; l-1- (3,4-Dihydroxyphenyl)-2-aminoethanol 3,4,β-Trihydroxyphenethylamine",Small molecule,,,,169.178,439260,388394,CHEMBL1437,https://commonchemistry.cas.org/detail?cas_rn=51-41-2&search=51-41-2,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=439260,http://www.chemspider.com/Chemical-Structure.388394.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1437,,DBH,Dopamine beta-hydroxylase,Dopamine beta-monooxygenase,P09172,,,F,F,T,F,T,F,F,T,F,
,F,OSM,Oncostatin-M,MGC20461; ONCM; oncostatin M; Oncostatin-M; OSM,Protein,"28,484",26 – 221,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,OX-A,Orexin A,HCRT; Hcrt1; Hcrt2; hypocretin; hypocretin (orexin) neuropeptide; hypocretin (orexin) neuropeptide precursor; Hypocretin neuropeptide precursor; Hypocretin-1; Hypocretin-2; NRCLP1; OREX; Orexin; Orexin-A; Orexin-B; OX; PPORX; PPOX; prepro-orexin,Protein,"13,363",34 – 66 Orexin-A; 70 – 97 Orexin-B,,,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
,F,OX-B,Orexin B,HCRT; Hcrt1; Hcrt2; hypocretin; hypocretin (orexin) neuropeptide; hypocretin (orexin) neuropeptide precursor; Hypocretin neuropeptide precursor; Hypocretin-1; Hypocretin-2; NRCLP1; OREX; Orexin; Orexin-A; Orexin-B; OX; PPORX; PPOX; prepro-orexin,Protein,"13,363",34 – 66 (Orexin-A); 70 – 97 (Orexin-B),,,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,BGLAP,Osteocalcin,BGLAP; BGP; bone gamma-carboxyglutamate (gla) protein; bone gamma-carboxyglutamate (gla) protein (osteocalcin); bone gamma-carboxyglutamate protein; Bone Gla protein; Gamma-carboxyglutamic acid-containing protein; OC; OCN; OSTCN; Osteocalcin; PMF1,Protein,"10,963",52 – 100,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,SPP1,Osteopontin,"BNSP; Bone sialoprotein 1; bone sialoprotein I; BSPI; early T-lymphocyte activation 1; ETA-1; MGC110940; Nephropontin; OPN; Osteopontin; osteopontin/immunoglobulin alpha 1 heavy chain constant region fusion protein; OSTP; Secreted phosphoprotein 1; secreted phosphoprotein 1 (osteopontin,bone sialoprotein I,early T-lymphocyte activation 1); secreted phosphoprotein 1 variant 6; secreted phosphoprotein-1 (osteopontin,bone sialoprotein); SPP-1; SPP1; SPP1/CALPHA1 fusion; Urinary stone protein; Uropontin",Protein,"35,423 (Isoform A (OPN-a,OP1B)); 33,844 (Isoform B (OPN-b,OP1A)); 32,355 (Isoform C (OPN-c)); 33,017 (Isoform D); 33,843 (Isoform 5) ",17-314,Thrombin (in rat),,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,OXT,Oxytocin,"NEU1; Neurophysin 1; neurophysin I; Ocytocin; OT; OT-NPI; OXT; OXT-NPI; Oxytocin; oxytocin,prepro- (neurophysin I); oxytocin,prepropeptide; Oxytocin-neurophysin 1; oxytocin-neurophysin I,preproprotein; oxytocin/neurophysin I prepropeptide",Protein,"12,722",20-28,Signal peptidase complex subunit 3,,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
,F,PP,Pancreatic polypeptide,"Pancreatic prohormone,INN,PNP",Protein,"4,200",30-65,,,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
,F,PTH,Parathyroid hormone,FIH1; Parathormone; Parathyrin; Parathyroid hormone; parathyroid hormone 1; prepro-PTH; preproparathyroid hormone; PTH; PTH1; PTHY,Protein,"12,861",32-115,extracellular metalloproteinases,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,PYY,Peptide YY,Peptide tyrosine tyrosine; Peptide YY; Peptide YY(3-36); prepro-PYY; PYY; PYY-I; PYY-II; PYY1,Protein,"11,145",29-64 (Peptide YY); 31-64 (Peptide YY (3-36)),FAP,,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
,F,PSPN,Persephin,Persephin; PSP; PSPN,Protein,"16,600",22 – 156,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
64-04-0,T,"PEA,β-PEA",Phenylethylamine,Phenethylamine; β-phenylethylamine; 2-phenylethan-1-amine; Benzeneethanamine,Small molecule,,,,121.0891,1001,13856352,CHEMBL610,https://commonchemistry.cas.org/detail?cas_rn=64-04-0&search=64-04-0,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1001,http://www.chemspider.com/Chemical-Structure.13856352.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL610,,"AADC,DDC,AAAD",Aromatic-L-amino-acid decarboxylase,"Aromatic-L-amino-acid decarboxylase,DOPA decarboxylase,tryptophan decarboxylase,5-hydroxytryptophan decarboxylase",P20711,,,F,F,T,F,T,F,F,T,F,
,F,PACAP (ADCYAP1),Pituitary adenylate cyclase-activating peptide,ADCYAP1; adenylate cyclase activating polypeptide 1; adenylate cyclase activating polypeptide 1 (pituitary); MGC126852; PACA; PACAP; PACAP-27; PACAP-38; PACAP-related peptide; PACAP27; PACAP38; Pituitary adenylate cyclase-activating polypeptide; Pituitary adenylate cyclase-activating polypeptide 27; Pituitary adenylate cyclase-activating polypeptide 38; prepro-PACAP; PRP-48,Protein,"18,835",,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,PGF,Placenta growth factor,"D12S1900; PGF; PGFL; PIGF; Placenta growth factor; placental growth factor; placental growth factor,vascular endothelial growth factor-related protein; PLGF; PlGF-2; SHGC-10760",Protein,"24,789",19 – 221,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,PDGFC (VEGF-E),Platelet-derived growth factor C,"Fallotein; PDGF-C; PDGFC; PDGFC latent form; PDGFC receptor-binding form; platelet derived growth factor C; Platelet-derived growth factor C; Platelet-derived growth factor C,latent form; Platelet-derived growth factor C,receptor-binding form; SCDGF; secretory growth factor-like protein; Spinal cord-derived growth factor; VEGF-E",Protein,"Isoform 1 39,029; Isoform 2 31,808; Isoform 3 18,784; Isoform 4 20,609","Platelet-derived growth factor C,latent form 23-345; receptor-binding form ?-345",Matriptase and Tissue plasminogen activator (tPA),,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,PDGFA,Platelet-derived growth factor subunit A,PDGF A-chain; PDGF subunit A; PDGF-1; PDGF-A; PDGF1; PDGFA; platelet derived growth factor subunit A; Platelet-derived growth factor A chain; platelet-derived growth factor A-chain; platelet-derived growth factor alpha chain; platelet-derived growth factor alpha isoform 2 preproprotein; Platelet-derived growth factor alpha polypeptide; Platelet-derived growth factor subunit A,Protein,"24,043",87-211,Proprotein convertase 5/6,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,PDGFB,Platelet-derived growth factor subunit B,"becaplermin; c-sis; epididymis secretory sperm binding protein; FLJ12858; IBGC5; PDGF subunit B; PDGF,B chain; PDGF-2; PDGF2; PDGFB; platelet derived growth factor subunit B; platelet-derived growth factor 2; Platelet-derived growth factor B chain; Platelet-derived growth factor beta polypeptide; platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog); Platelet-derived growth factor subunit B; platelet-derived growth factor,B chain; Platelet-derived growth factor,beta polypeptide (oncogene SIS); Proto-oncogene c-Sis; SIS; SSV",Protein,"27,283",82-190,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,BTC,Probetacellulin,Betacellulin,Protein,"19,746",32-178,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
57-83-0,T,P4,Progesterone,"Pregn-4-ene-3,20-dione; Agolutin; Luteohormone",Small molecule,,,,314.462,5994,5773,CHEMBL103,https://commonchemistry.cas.org/detail?cas_rn=57-83-0&search=57-83-0,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5994,http://www.chemspider.com/Chemical-Structure.5773.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL103,,HSD3B1,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-is,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I; Trophoblast antigen FDO161G; 3-beta-hydroxy-5-ene steroid dehydrogenase; Progesterone reductase; Delta-5-3-ketosteroid isomerase,P14060,,,T,F,F,F,T,F,F,T,F,
,F,PRL,Prolactin,decidual prolactin; GHA1; growth hormone A1; PRL; Prolactin,Protein,"25,876",29 – 227,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,PRH; PRLH,Prolactin releasing hormone,preproprolactin-releasing peptide; PRH; PRLH; prolactin releasing hormone; Prolactin-releasing hormone; Prolactin-releasing peptide; Prolactin-releasing peptide PrRP20; Prolactin-releasing peptide PrRP31; PrRP,Protein,"9,639",23 – 53 (Prolactin-releasing peptide PrRP31); 34 – 53 (Prolactin-releasing peptide PrRP20),,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
35121-78-9,T,PGI2,Prostacyclin (Prostaglandin I2),"Prostaglandin I2; (Z)-5-[ (4R,5R)-5-Hydroxy-4- ( (S,E)-3-hydroxyoct-1-enyl)hexahydro-2H-cyclopenta[b]furan-2-ylidene]pentanoic acid",Small molecule,,,,352.465,5282411,4445566,CHEMBL962,https://commonchemistry.cas.org/detail?cas_rn=35121-78-9&search=35121-78-9,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5282411,http://www.chemspider.com/Chemical-Structure.4445566.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL962,,PTGIS,Prostacyclin synthase,Prostaglandin I2 synthase,Q16647,,,T,F,F,F,T,F,F,T,F,
745-65-3,T,PGE1,Prostaglandin E1 (Alprostadil),"7-[ (1R,3R)-3-hydroxy-2-[ (1E,3S)-3-hydroxyoct-1-en-1-yl]-5-oxocyclopentyl]heptanoic acid",Small molecule,,,,354.481,149351,4444306,CHEMBL495,https://commonchemistry.cas.org/detail?cas_rn=745-65-3&search=745-65-3,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=149351,http://www.chemspider.com/Chemical-Structure.4444306.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL495,,PTGES,Prostaglandin E synthase,Microsomal glutathione S-transferase 1-like 1; p53-induced gene 12 protein,O14684,,,T,F,F,F,T,F,F,T,F,
363-24-6,T,PGE2,Prostaglandin E2,"Dinoprostone; (5Z,11α,13E,15S)-7-[3-hydroxy-2- (3-hydroxyoct-1-enyl)- 5-oxo-cyclopentyl] hept-5-enoic acid; (5Z,11α,13E,15S)-11,15-Dihydroxy-9-oxo-prosta-5,13-dien-1-oic acid; Prepidil Gel; Prostenon; Prostaglandin E2 alpha; PGE2 alpha; DINOPROSTONE BETA-CYCLODEXTRIN CLATHRATE; U-12062; [3H]PGE2; Cervidil",Small molecule,,,,352.465,5280360,4444059,CHEMBL548,https://commonchemistry.cas.org/detail?cas_rn=363-24-6&search=363-24-6,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280360,http://www.chemspider.com/Chemical-Structure.4444059.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL548,,PTGES,Prostaglandin E synthase,Microsomal glutathione S-transferase 1-like 1;p53-induced gene 12 protein; MGST1-L1; MPGES-1,O14684,,,T,F,F,F,T,F,F,T,F,
551-11-1,T,PGF2A,Prostaglandin F2 alpha,Dinoprost,Small molecule,,,,354.48,5280363,4444062,815,https://commonchemistry.cas.org/detail?cas_rn=551-11-1&search=551-11-1,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280363,http://www.chemspider.com/Chemical-Structure.4444062.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/815,,AKR1C3,Aldo-keto reductase family 1 member C3,"17-beta-HSD 5; 17-beta-hydroxysteroid dehydrogenase type 5; 3-alpha hydroxysteroid dehydrogenase,type II; 3-alpha-HSD type 2; 3-alpha-HSD type II,brain; 3-alpha-hydroxysteroid dehydrogenase type 2; AK1C3; AKC1H; Aldo-keto reductase family 1,member C3; Aldo-keto reductase family 1,member C3 (3-alpha hydroxysteroid dehydrogenase,type II); Chlordecone reductase homolog; Chlordecone reductase homolog HAKRb; DD3; DD-3; DDH1; DDX; Dihydrodiol dehydrogenase 3; Dihydrodiol dehydrogenase type I; Dihydrodiol dehydrogenase X; EC 1.-.-.-; EC 1.1.-.-; EC 1.1.1.149; EC 1.1.1.188; EC 1.1.1.213; EC 1.1.1.62; EC 1.1.1.63; EC 1.1.1.64; EC 1.3.1.20; Estradiol 17-beta-dehydrogenase; HA1753; HAKRB; HAKRe; HluPGFS; HSD17B5; Hydroxysteroid (17-beta) dehydrogenase 5; KIAA0119; PGFS; Prostaglandin F synthase; Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase; Type II 3a-hydroxysteroid dehydrogenase variant; Type IIb 3-alpha hydroxysteroid dehydrogenase",P42330,,,T,F,F,F,T,F,F,T,F,
,F,FAM3B,Protein FAM3B,"2-21; C21orf11; C21orf76; cytokine-like protein 2-21; D21M16SJHU19e; FAM3 metabolism regulating signaling molecule B; FAM3B; family with sequence similarity 3 member B; family with sequence similarity 3,member B; ORF9; OTTHUMP00000109240; P58499; pancreatic derived factor; Pancreatic-derived factor; PANDER; PRED44; Protein FAM3B",Protein,"25,982",30-235,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
