C1,C2,C3,C4,C5,C6,C7,C8,C13,C18,C23,C9,C19,C14,C24,C10,C15,C20,C25,C15,C11,C16,C21,C26,C12,C17,C22,C27,,,
Q96A70,306-60-6,T,F,F,F,Q96A70,Adipose tissue - Omental,Adrenal gland,"Blood - Peripheral - natural killer (NK) lymphocytes,T-lymphocytes - CD4+,B-lymphocytes,and T-lymphocytes - CD8+*","Brain - Diencephalon,cerebral cortex,cerebellum*","Brain - Temporal lobe,prefrontal cortex,cerebellum,frontal cortex,corpus callosum,inferior vagus X ganglion,amygdala,subthalamic nucleus,nucleus accumbens,cerebral cortex,substantia nigra,occipital lobe,superior frontal gyrus,medulla oblongata,and hypothalamus",Heart - Right atrial appendage - Myocardial cells and left ventricular free wall - Myocardial cells,Kidney,Ovary,Placenta - Basal plate (37-40 weeks),Sperm*,Spinal cord*,Testis*,,,,,,,,,,,,
Q96A70,306-60-7,T,F,F,F,Q96A70,Adipose tissue - Omental,Adrenal gland,"Blood - Peripheral - natural killer (NK) lymphocytes,T-lymphocytes - CD4+,B-lymphocytes,and T-lymphocytes - CD8+*","Brain - Diencephalon,cerebral cortex,cerebellum*","Brain - Temporal lobe,prefrontal cortex,cerebellum,frontal cortex,corpus callosum,inferior vagus X ganglion,amygdala,subthalamic nucleus,nucleus accumbens,cerebral cortex,substantia nigra,occipital lobe,superior frontal gyrus,medulla oblongata,and hypothalamus",Heart - Right atrial appendage - Myocardial cells and left ventricular free wall - Myocardial cells,Kidney,Ovary,Placenta - Basal plate (37-40 weeks),Sperm*,Spinal cord*,Testis*,,,,,,,,,,,,
Q96A70,306-60-8,T,F,F,F,Q96A70,Adipose tissue - Omental,Adrenal gland,"Blood - Peripheral - natural killer (NK) lymphocytes,T-lymphocytes - CD4+,B-lymphocytes,and T-lymphocytes - CD8+*","Brain - Diencephalon,cerebral cortex,cerebellum*","Brain - Temporal lobe,prefrontal cortex,cerebellum,frontal cortex,corpus callosum,inferior vagus X ganglion,amygdala,subthalamic nucleus,nucleus accumbens,cerebral cortex,substantia nigra,occipital lobe,superior frontal gyrus,medulla oblongata,and hypothalamus",Heart - Right atrial appendage - Myocardial cells and left ventricular free wall - Myocardial cells,Kidney,Ovary,Placenta - Basal plate (37-40 weeks),Sperm*,Spinal cord*,Testis*,,,,,,,,,,,,
Q96A70,306-60-9,T,F,F,F,Q96A70,Adipose tissue - Omental,Adrenal gland,"Blood - Peripheral - natural killer (NK) lymphocytes,T-lymphocytes - CD4+,B-lymphocytes,and T-lymphocytes - CD8+*","Brain - Diencephalon,cerebral cortex,cerebellum*","Brain - Temporal lobe,prefrontal cortex,cerebellum,frontal cortex,corpus callosum,inferior vagus X ganglion,amygdala,subthalamic nucleus,nucleus accumbens,cerebral cortex,substantia nigra,occipital lobe,superior frontal gyrus,medulla oblongata,and hypothalamus",Heart - Right atrial appendage - Myocardial cells and left ventricular free wall - Myocardial cells,Kidney,Ovary,Placenta - Basal plate (37-40 weeks),Sperm*,Spinal cord*,Testis*,,,,,,,,,,,,
Q99259,56-12-02,T,F,F,F,Q99259,"Brain - Associative striatum,caudate nucleus,dorsal striatum,frontal cortex","Brain - Brodmann area 46,cerebral cortex,diencephalon,middle temporal gyrus,primary visual cortex*",Brain - Fetal oligodendrocyte progenitor cells*,"Colon - Ascending,sigmoid,terminal ileum",Eye - Optic nerve head - Astrocytes*,Heart - Microvascular endothelial cells,Lung - Microvascular endothelial cells,Prostate*,Testis,,,,,,,,,,,,,,,
Q9GZT4,312-84-5,T,F,F,F,Q9GZT4,Adrenal gland,"Blood - Erythroid progenitors CD34+,lymphoblastoid cells,monocyte derived macrophage*",Blood - Granulocyte-macrophage progenitor (GMP) cells,Blood - Outgrowth endothelial cells*,"Brain -  Frontal cortex,cerebral cortex,diencephalon*","Colon - Ascending,terminal ileum,sigmoid",Fallopian tube*,Heart - Microvascular - Endothelial cells,Kidney,Lung - Pulmonary artery endothelium cells,Placenta,Skeletal muscle,Spinal cord*,Testis*,Thoracic mammary gland,Thyroid,,,,,,,,
Q9H7Z7,363-24-6,T,F,F,F,Q9H7Z7,Adrenal gland*,Bone marrow - Plasma cells,"Brain - Cerebellum,temporal lobe,prefrontal cortex*",Brain - Frontal,"Colon - Ileal epithelium cells,epithelium cells (colonocyte),rectum*",Gastrointestinal tract cells,"Heart - Right ventricle,ventricle interventricular septum,subendocardial left ventricle*",Intestine,Kidney*,Liver,Muscle - Rectus abdominus muscle,Skeletal muscle*,Small intestine,Thyroid,,,,,,,,,,
Q9UBM7,67-97-0,T,F,F,F,Q9UBM7,Adrenal gland*,Blood - Peripheral - natural killer (NK) cells*,Brain - Temporal lobe and prefrontal cortex*,"Colon - Terminal ileum,ascending and sigmoid*",Eye - Fetal retina pigment epithelium cells,Eye - Optic nerve head - Astrocytes,Heart - Microvascular - Endothelial cells,Kidney,Liver*,Muscle - Skeletal - Myotubes,"Ovary - Granulosa cells,cumulus cells and follicle cells*",Pigmented layer of retina,Skin - Dermal papilla cells*,Testis,,,,,,,,,,
O00220,,F,F,T,F,O00220,Adipose tissue - Omental*,Artery - Coronary - Endothelium,Bladder - Epithelial cells,Blood*,"Blood - Peripheral - CD4+ naive regulatory T-cells,CD4+ memory T-cells and CD4+ memory regulatory T-cells*","Blood - Peripheral - natural killer (NK) lymphocytes,T-lymphocytes - CD8+ & CD4+,macrophages - CD14+ and B-lymphocytes*",Colon,Colon,Heart,Heart - Left ventricular free wall and right atrial appendage - Myocardial cells,Liver,Liver,Liver - Hepatocyte and hepatic mucosa cells*,Lung*,Lung,Lymph node*,Placenta - Basal plate (37-40 weeks),Skin - Dermal - Endothelial cells,Small intestine,Spleen*,,,,
O00238,,F,F,T,F,O00238,Adipose tissue - Omental,Blood - Erythroid progenitors - CD34+*,"Brain - Caudate nucleus,diencephalon,amygdala,putamen,cerebral cortex,cerebellum*",Brain - Frontal,Brain - Hypothalamus,"Brain - Middle temporal gyrus,internal (medial) globus pallidus",Fallopian tubes,"Heart - Middle septum,left ventricular free wall and right atrial appendage - Myocardial cells*",Kidney,Kidney - Metanephros,Kidney - Metanephros,"Lung - Bronchus - Large airway epithelium cells,bronchiolar (small airway) epithelium cells*",Male reproductive system,Ovary*,Ovary - Ovarian granulosa cells,Prostate*,Prostate gland*,Testis,Thorax - Thoracic mammary gland,Thyroid,Uterus - Endometrium*,,,
O00451,,F,F,T,F,O00451,Blood - Lymphoblastoid cells*,Blood - Peripheral CD4+ stem cells memory T-cells,Brain - Cerebral cortex*,Brain - Diencephalon,Brain - Frontal,Brain - Frontal cortex*,Brain - Parietal lobe,Brain - Postcentral gyrus*,Brain - Prefrontal cortex,Brain - Pyramidal neuron (posterior cingulate)*,Brain - Superior frontal gyrus,Brain - Temporal lobe*,Heart - Microvascular - Endothelial cells*,Placenta,Skin - Fibroblasts,Spleen,Testis,Thyroid*,Thyroid - Epithelial cells,Thyroid gland,Thyroid gland,,,
O00574,,F,F,T,F,O00574,Blood *,Blood - CD4+ resting T-cells,Blood - Helper (CD4+ effector) T-cells*,"Blood - Lymphoblastoid cells,peripheral - natural killer (NK) lymphocytes*",Blood - Tumor derived T-cells,Blood - Tumor specific CD8+ effector T-cells*,Bone marrow,Colon - Rectum,Colonic mucosa,Colonic mucosa,Heart - Microvascular - Endothelial cells,Lung*,Lung - Microvascular - Endothelial cells*,Lung - Palpebral conjunctiva,Placenta*,Placenta - Basal plate (37-40 weeks),Synovial fluid - Mononuclear cells,,,,,,,
O14804,,F,F,T,F,O14804,"Blood - Peripheral -  B-lymphocytes,,T-lymphocytes CD4+ and CD8+,natural killer (NK) lymphocytes*","Blood - Peripheral - CD8+ naive T-cells,CD8+ central memory T-cells,CD8+ effector memory T-cells,CD8+ effector memory RA T-cells",Bone marrow - Plasma cells,Female gonad*,Liver -portal triad (portal tract)*,Lung - Epithelial cells,Lung - Microvascular endothelial cells*,Lymph node,Nose - nasopharynx (epipharynx),Oocyte*,Placenta - Basal plate (37-40 weeks),,,,,,,,,,,,,
O14836,,F,F,T,F,O14836,Adrenal,"Blood - Anergic B cells,naïve B cells,B cells lineage","Blood - Anergic B-cells,naive B-cells,plasma cells,B-cells lineage,B-cells*","Blood - Peripheral - natural killer (NK) lymphocytes,T-lymphocytes - CD8+,CD4+,lymphoblastoid cells",Bone - Trabecular bone tissue,Bone marrow*,"Brain - Thalamus,amygdala,hippocampus*","Colon - Ascending,sigmoid,terminal ileum*",Colon - Colonic mucosa*,Eye - Retina,female gonad,Heart,Kidney,"Liver - Liver-infiltrating lymphocyte,portal triad (portal tract)*",Lung,Parotid,Small intestine and colon*,Spinal cord,Spleen*,Stomach,"Tonsil - Tonsillar CD4+ regulatory T-cells,tonsillar CD4+ activated T-cells",,,
O15399,,F,F,T,F,O15399,Bladder - Epithelium,"Blood - CD8+ cells,CD4+ cells,NK cells,B cells,lymphoblastoid cells*",Bone marrow - Endothelial progenitor,"Brain - Diencephalon,cerebellum,temporal lobe,anterior cingulate gyrus,forebrain,frontal cortex,cerebellar hemisphere","Brain - Frontal cortex,cerebellum,dorsolateral prefrontal cortex,entorhinal cortex,superior frontal gyrus","Brain - Frontal cortex,cerebellum,dorsolateral prefrontal cortex,entorhinal cortex,superior frontal gyrus",Brodmann area 9,Colon*,Colon - Rectum,Female gonad*,"GluN2D,NR2D*",Heart - Aortic Valve,"Heart - R atrial appendage,L ventricular free wall*",Muscle - Arm,Muscle - Skeletal myotubules,Placenta,Placenta - Basal plate,Skin*,Testis,Thyroid*,Tonsils - CD8+ resting cells,,N/A,
O15547,,F,F,T,F,O15547,Adrenal gland,Blood - Lymphoblastoid cells*,Blood - Peripheral blood leukocyte,Bone marrow - Plasma cells,Brain - Frontal cortex*,Colon - Rectus abdominus muscle*,Heart - Microvascular - Endothelial cells,Kidney,lateral thalamic nucleus,Liver - Portal triad (portal tract)*,Lung - Microvascular - Endothelial cells,Muscle - Muscle of torso,Muscle - Skeletal - Myotubes*,Skeletal muscle*,Spleen*,Testis*,Testis,,,,,,,
O43193,,F,F,T,F,O43193,Blood - Peripheral -  CD4+ stem cells memory T-cells,Blood - Peripheral - natural killer (NK) lymphocytes*,Bone marrow - Plasma cells,Bone marrow - Promyelocyte*,Colon - Rectum,Fetal - Amniotic fluid,Liver - Portal triad (portal tract)*,Lung - Epithelial cells,Thyroid - Epithelial cells*,,,,,,,,,,,,,,,
O43613,,F,F,T,F,O43613,Adrenal,Amniotic Fluid,"Blood - CD4+ effector,platelets,orthochromatophillic normoblast","Blood - NK cells,lymphoblastoid cells,CD4+ cells,CD8+ cells*",Bone - Growth plate,"Brain - Pituitary,temporal lobe,medulla oblongata",Breast*,Colon - Rectosigmoid mucosa,"Colon - Sigmoid,rectum",Heart - Septum*,Intestine - Duodenum*,Muscle - Skeletal myotubules,Ox-1-R*,Skin - Fibroblasts,Thyroid,"Tonsil - CD8+ resting,NK cells",,,,,,,,
O43614,,F,F,T,F,O43614,"Blood - Peripheral - T-lymphocytes - CD8+,natural killer (NK) lymphocytes,B-lymphocytes,T-lymphocytes - CD4+*","Brain - Diencephalon,superior vestibular nucleus,pons*",Liver - Infiltrating lymphocyte*,Lung - Epithelial cells,Lung - Microvascular - Endothelial cells*,Muscle - Skeletal - Myotubes,Placenta,Skeletal - Growth plate,Testis*,Tonsils - Tonsillar CD8+ resting T-cells,,,,,,,,,,,,,,
O60609,,F,F,T,F,O60609,Brain - Cerebellum,"Brain - Spinal ganglion (dorsal root ganglion),trigeminal ganglion,coronary artery,pars compacta,subthalamic nucleus,sural nerve - Schwann cells*","Female reproductive organs - Uterine cervix,female gonad,mammalian vulva","Heart - Right atrial appendage,left ventricular free wall - Myocardial cells*",Lung - Epithelial cells,Muscle - Skeletal - Myotubes,Pituitary gland,Placenta,Skin,Small intestine and colon*,Spinal cord,"Stomach - Stomach fundus,stomach cardia",Testis*,Tonsil - Tonsillar CD8+ resting T-cells*,,,,,,,,,,
O60894,,F,F,T,F,O60894,Artery - Internal mammary artery wall,"Blood - Peripheral T-lymphocytes - CD8+ and CD4+,and lymphoid*","Brain - Cerebral cortex - Frontal lobe,temporal lobe","Colon - Ascending,sigmoid and rectum*",Dendritic cells - Monocyte-derived,Eye - Optic nerve head - Astrocytes,Fallopian tube,Heart - Aortic root wall*,"Heart - Myocardium,subendocardial left ventricle",Liver,Prostate - Prostatic stromal cells*,Small intestine and colon,Smooth muscle*,Spinal cord*,Uterus- Myometrium*,,,,,,,,,
O60895,,F,F,T,F,O60895,"Blood - Erythroid progenitors - CD34+,natural killer (NK) lymphocytes and lymphoblastoid cells.*",Brain - Cerebral cortex - Temporal Lobe,Breast*,Cervix,"Colon - Ascending,sigmoid and terminal ileum",Eye - Medial rectus muscle,Gluteal subcutaneous adipose tissue (glutSAT),Heart*,Kidney - Glomerulus and nephron*,Kidney - Metanephric glomerulus,"Lung - Microvascular endothelial cells,pulmonary microvessel endothelium cells*",Placenta*,Prostate gland,Thoracic mammary gland,Uterus,,,,,,,,,
O60896,,F,F,T,F,O60896,Adipose tissue*,Adrenal gland*,"Blood - Peripheral - T-lymphocytes - CD4+ and CD8+,natural killer (NK) lymphocytes,and B-lymphocytes*",Brain - Substantia nigra,Colon - Transverse,Dermal lymphatic microvessel endothelium cells*,Heart - Coronary artery,Heart - Subendocardial left ventricle,"Kidney - Glomerulus,metanephric glomerulus*",Liver,Lung*,Lymph node,Placenta - Basal plate (37-40 weeks)*,Skeletal muscle - Myotubes,Skin - Reticular dermis cells,Thoracic mammary gland,,,,,,,,
O75311,,F,F,T,F,O75311,Adipose - Subcutaneous adipose tissue (SAT),"Blood - Peripheral - natural killer (NK) lymphocytes,T-lymphocytes  CD8+,B-lymphocytes*",Bone marrow - Endothelium progenitor cells*,"Brain - Cerebral cortex,diencephalon,frontal cortex,prefrontal cortex,*","Colon - Ascending,sigmoid","Germinal center B-cells,Memory B-cells",Heart - Microvascular - Endothelial cells,Liver - Portal triad (portal tract),Lung - Microvascular - Endothelial cells*,Spinal cord*,Thyroid - Epithelial cells,Tongue - Squamous epithelium cells*,,,,,,,,,,,,
O75787,,F,F,T,F,O75787,Aortic (vascular) - Smooth muscle cells,"Blood - Lymphoblastoid cells,erythroid progenitors - CD34+,B-lymphocytes,macrophages - CD14+*","Brain - Diencephalon,cerebral cortex,substantia nigra*","Colon - Ascending,terminal ileum,sigmoid*",Connective tissue - Synovial fibroblasts,Eye - Pigmented layer of retina,Eye - Trabecular meshwork cells*,"Heart - Middle septum,microvascular endothelial cells,subendocardial left ventricle",Intestine - Mucosal cells,Kidney - Metanephros,"Lung - Alveolar macrophage,visceral pleura,parietal pleura*",Macrophage,Placenta,Thyroid*,,,,,,,,,,
P00533,,F,F,T,F,P00533,Bladder - Urothelium cells,Blood - Erythroid progenitors (CD34+) and lymphoblastoid cells*,Breast*,Breast - Epithelial cells,Eye - Fetal retina pigment epithelial cells*,Fallopian tube*,Heart - Microvascular - Endothelial cells,Liver,Nose - Epithelium cells,Placenta*,Placenta - Basal plate (37-40 weeks),Prostate,Skin - Fibroblasts,Thyroid gland,Vagina - Vulva*,,,,,,,,,
P01589,,F,F,T,F,P01589,Adipose tissue,Adrenal gland,"Blood - Peripheral blood helper (CD4+ effector) T-cells,peripheral blood CD4+ memory regulatory T-cells,peripheral blood CD4+ regulatory T-cells,peripheral blood CD4+ naive regulatory T-cells,peripheral blood CD4+ activated T-cells,tumor derived T-cells,tumor derived CD4+ T-cells,T-lymphocytes - CD8+,peripheral blood tumor specific CD8+ effector T-cells,CD8+,lymphoblastoid cells,erythroid progenitors - CD34+,natural killer (NK) lymphocytes*",Female gonad*,Heart - Middle septum*,Intestine - Small - Duodenum,Lung - Microvascular - Endothelial cells,Lymph node*,Placenta*,Spleen*,Stomach - Colon - Duodenum,,,,,,,,,,,,,
P01730,,F,F,T,F,P01730,Blood - Monocyte derived macrophage*,"Blood - Peripheral  CD4+ effector memory T-cells,CD4+ stem cells memory T-cells,T lymphocytes (naïve) CD3+CD4+CD8+-CD4+5RA+CD62L+",Colon - Mucosal cells*,Epidermis - Langerhans cells,Joints - Synovial tissue*,Liver*,Lung *,Lung - Microvascular - Endothelial cells,Lymph node*,Placenta*,Spinal cord,Spleen*,Thymus - Thymocyte*,Umbilical cord - Mast cells,,,,,,,,,,
P02452,,F,F,T,F,P02452,"Adipose tissue - Abdominal region,Subcutaneous ",Blood - NK cells,Breast,Colon,Eye - Optic nerve head - Astrocytes*,Eye - Trabecular meshwork,Female gonad*,Heart - Microvascular endothelial cells,Osteoblast*,Ovary*,Skin - Dermal fibroblasts,Spinal cord,Tendon,Umbilical cord*,"Uterus - Smooth muscle,corpus*",Uterus - Uterine cervix*,Vagina,,,,,,,
P02708,,F,F,T,F,P02708,"Blood - Peripheral - natural killer (NK) lymphocytes,T-lymphocytes CD4+ and CD8+,B-lymphocytes,T-lymphocytes (naïve) - CD3+CD4+CD8+-CD4+5RA+CD62L+*",Brain - Ammon's horn,Heart - Microvascular endothelial cells,Lung - Microvascular - Endothelial cells*,"Muscle - Medial rectus,rectus,biceps femoris,deltoid,thigh,skeletal*","Muscle - Skeletal - Quadriceps femoris,deltoid,vastus lateralis,myotubes,myoblasts*",Prostate*,Thyroid - Epithelial cells,,,,,,,,,,,,,,,,
P03372,,F,F,T,F,P03372,"Blood - natural killer (NK) lymphocytes,natural killer T-cells*",Blood - Peripheral - T-lymphocytes - CD8+,Breast - Thoracic mammary gland,"Colon - Ascending,terminal ileum,sigmoid*",Heart - Microvascular - Endothelial cells,Liver,Lung - Microvascular - Endothelial cells,Ovary*,Testis,Thyroid,"Tonsil - NK cells,CD8+ T cells,CD4+ T cells,CD30 T cells*","Uterus - Cervix,Myometrium",Uterus - Endometrium*,Vagina*,,,,,,,,,,
P04150,,F,F,T,F,P04150,Airway - Bronchial - Muscle cells,"Blood - Lymphoblastoid cells,erythroid progenitors - CD34+","Blood - Monocyte derived macrophage,granulocyte (polymorphonuclear leukocyte),anergic and naïve B-cells,neutrophil granulocyte*","Brain - Diencephalon,and primary visual cortex cerebellum*",Brain - Primary visual cortex*,"Colon - Ascending,sigmoid*",Fallopian tube,Fetal - Amniotic fluid*,Lung - Visceral pleura and parietal pleura*,Placenta,Skeletal muscle,Thorax - Thoracic mammary gland,Umbilical cord - Mast cells*,Vagina,,,,,,,,,,
P04233,,F,F,T,F,P04233,Adrenal gland*,Appendix - Vermiform,Bladder,"Blood - Monocyte derived macrophage,anergic B-cells,naive B-cells*",Connective tissue - Synovial fluid mononuclear cells,Epididymis,Kidney,Lung - Alveoli macrophage,Lung - Lower lobe*,Lymph node*,Nose - nasal epithelium cells,Skin - Epidermal Langerhans cells*,"Small intestine - Duodenum,ileum,jejunum*",Spleen*,,,,,,,,,,
P04626,,F,F,T,F,P04626,Blood - Erythroid progenitors - CD34+*,Brain - Diencephalon,Colon,Eye - Trabecular meshwork cells,Fallopian tube*,Fetal - Amniotic fluid,Heart*,"Heart - Microvascular endothelial cells,subendocardial left ventricle",Kidney*,Muscle - Skeletal myotubes,Nose - nasal epithelium*,Prostate,Skin - Fibroblasts,Small intestine*,Thorax - Thoracic mammary gland*,Thyroid gland,Trachea - Tracheal epithelium cells,Urinary bladder - Urothelium (epithelium) cells*,,,,,,
P04629,,F,F,T,F,P04629,Adrenal gland,"Blood - Peripheral - B-lymphocytes,lymphoblastoid cells*","Blood - Peripheral blood natural killer T-cells,peripheral blood helper (CD4+ effector) T-cells","Bone marrow - Bone marrow cells,bone marrow endothelium progenitor cells,plasma cells","Brain - Spinal ganglion (dorsal root ganglion),trigeminal ganglion*","Brain - Trigeminal ganglion,Spinal ganglion (dorsal root ganglion)*","Colon - Sigmoid,ascending,terminal ileum,rectum*","Eye - Retina,fetal retina*",Kidney,Liver - Portal triad (portal tract),Muscle - Skeletal - Myotubes,Spinal cord*,Testis*,Umbilical cord - Vein - Vascular endothelial cells (HUVEC),Uterus,,,,,,,,,
P05106,,F,F,T,F,P05106,"Blood - Peripheral - Natural killer (NK) lymphocytes,B-lymphocytes,T-lymphocytes - CD8+,platelets*",Blood - Thrombocyte*,Bone marrow - Myeloid cells*,Colon - Sigmoid*,Heart - Microvascular - Endothelial cells*,Kidney*,Lung - Microvascular - Endothelial cells,Placenta,Prostate,Skeletal muscle,Skin - Dermal lymphatic microvessel endothelium,Synovial tissue,Tendon*,Thyroid - Epithelial cells*,Thyroid gland,,,,,,,,,
P05556,,F,F,T,F,P05556,Adipose,Adrenal gland,Breast*,Cauda epididymis,Colon,Endometrium stromal cells,Heart,Kidney*,Ovary,Parietal pleura,Placenta*,Rectum,Seminal vesicle,Skin,Smooth muscle*,Tibial Artery,Ureter - Smooth muscle,Urinary bladder,Uterus,Visceral pleura,,,,
P06213,,F,F,T,F,P06213,"Blood - Lymphoblastoid cells,erythroid progenitor CD34+,T cells CD8+*",Brain - Corpus callosum - Genu*,"Brain - Diencephalon,middle temporal gyrus",Colon- rectum*,Fetus - Oligodendrocyte progenitor cells,Heart - Cardiomyocytes,"Heart - Left ventricular free wall -myocardial cells,right atrial appendage - Myocardial cells*",Lung - Microvascular cells endothelial cells,Lung - Visceral pleura*,Mammary gland,Muscle - Skeletal deltoids,Ovary,Pancreas*,Pancreas - Pancreatic duct,Placenta - Basal plate (37-40 weeks),Spleen*,Testis*,Uterus,,,,,,
P06401,,F,F,T,F,P06401,Blood - Lymphoblastoid cells*,"Colon - Sigmoid,ascending,and terminal ileum*",Female gonad,Female reproductive system,Heart - Left ventricular free wall and right atrial appendage - Myocardial cells,Heart - Muscle - Cardiomyocyte*,Ovary - Endometrial cells*,Testis,Umbilical cord - Vein - Vascular endothelial cells (HUVEC),"Uterus - Cervix,endometrium and myometrium*",Vagina,,,,,,,,,,,,,
P06756,,F,F,T,F,P06756,"Blood - Peripheral -B-lymphocytes,T-lymphocytes - CD8+,natural killer (NK) lymphocytes*",Bone - Osteoblast like cells,Brain - Substantia nigra,"Colon - Terminal ileum,ascending*",Eye - Optic nerve head - Astrocytes,Eye - Pigmented layer of retina*,Heart - Endothelium*,Kidney - Glomerulus,Kidney - Metanephric glomerulus*,Lung - Visceral pleura,Ovary - Surface - Epithelial cells,Prostate - Basal cells - CD104+,Thyroid*,Uterus - Myometrium,,,,,,,,,,
P07333,,F,F,T,F,P07333,Adipose tissue - Abdominal region,Adrenal gland,"Blood - T cells CD8+,macrophage CD14+,T cells CD4+,B cells*",Brain - Frontal lobe - Microglial cells*,"Brain - Temporal lobe,substantia nigra*",Eye - Fetal retina pigment epithelium*,Eye - Pigment layer of retina,Heart - Subendocardial left ventricle,Kidney,Lung *,Lung - Aveoli macrophage,"Nerve - Inferior vagus X ganglion,monocyte derived dendritic cells,dendritic cells",Ovary,Placenta*,Skin - Epidermal Langerhans cells*,Skin - Fibroblasts,Spleen*,,,,,,,
P07437,,F,F,T,F,P07437,Bone marrow - Erythroid progenitor cells,Brain,Breast*,Colon *,Colon - Rectum,Eye - Optic nerve head - Astrocytes,Fallopian tube,Gall bladder*,Heart*,Heart - Coronary artery endothelium cells,Kidney,Liver*,Lung*,Lymph node,Ovary*,Skin - Scalp*,Testis,,,,,,,
P07550,,F,F,T,F,P07550,"Blood - B cells,CD4+ cells,CD8+ cells*",Bone marrow,Bronchus - Epithelium*,Esophagus - Mucosa*,"Eye - Cornea,conjunctiva,palpebral conjunctiva",Hair - Keratinocyte,Heart*,Large Airway Cell,Lung,Lung - Cuboid alveolar cells,Lung - Upper and lower lobe*,Mouth - Epithelial cells*,Placenta,"Skin - Suprapubic,fibroblasts",Thyroid,Tongue,Vagina,,,,,,,
P08069,,F,F,T,F,P08069,Adrenal gland,Blood - Erythroid progenitors - CD34+ and lymphoblastoid cells*,"Bronchial (primary,main stem) epithelium cells*","Colon - Terminal ileum,ascending,and sigmoid",Epididymal region,Fallopian tube,Female gonad,Gall bladder*,Heart - Right atrial appendage - Myocardial cells,Kidney - Metanephros*,Large airway cells,Lung,Nasal epithelium cells*,Ovary - Ovarian follicle cells - Cumulus cells*,Pituitary gland,Testis*,Thyroid gland*,Uterus - Endometrium,,,,,,
P08138,,F,F,T,F,P08138,Adrenal gland*,"Blood - Peripheral - B-lymphocytes,T-lymphocytes - CD8+ and CD4+,lymphoblastoid cells*",Bone - Growth plate,Brain - Trigeminal ganglion,Colon - Ascending,Eye - Retina*,Heart - Right atrial appendage,Liver,Lymph node,Muscle - Skeletal - Myotubes,Placenta,Prostate,Skeletal - Growth plate,Skin - Fibroblasts,Spinal cord - Spinal ganglion (dorsal root ganglion)*,Spleen*,Testis,Thyroid*,,,,,Trigeminal ganglion,
P08138,,F,F,T,F,P08138,Adrenal gland*,"Blood - Peripheral - B-lymphocytes,T-lymphocytes - CD8+ and CD4+,lymphoblastoid cells*",Bone - Growth plate,Brain - Trigeminal ganglion,Colon - Ascending,Eye - Retina*,Heart - Right atrial appendage,Liver,Lymph node,Muscle - Skeletal - Myotubes,Placenta,Prostate,Skeletal - Growth plate,Skin - Fibroblasts,Spinal cord - Spinal ganglion (dorsal root ganglion)*,Spleen*,Testis,Thyroid*,,,,,Trigeminal ganglion,
P08172,,F,F,T,F,P08172,"Blood - Peripheral - natural killer (NK) lymphocytes,T-lymphocytes CD8+,B-lymphocytes,*",Brain - Frontal cortex,"Colon - Sigmoid,terminal ileum,ascending ileum*",Heart - Cardiomyocyte*,"Heart - Left atrium,left ventricle,right ventricle*",Heart - Muscle and myocardium,Lung - Epithelial cells,Placenta,Prostate*,Spinal cord,Tooth - Dental pulp stem cells,,,,,,,,,,,,,
P08173,,F,F,T,F,P08173,Blood - Eosinophil granulocyte*,"Blood - Peripheral - T-lymphocytes CD4+ and CD8+,natural killer (NK) lymphocytes,B-lymphocytes,Lymphoblastoid cells*",Brain - Associative striatum,"Brain - Frontal cortex,prefrontal cortex*",Cartilage - Chondrogenic progenitor cells*,Colon - Sigmoid,Lung - Epithelial cells*,Nose - nasopharyngeal (epipharyngeal) epithelium,Placenta - Basal plate (37-40 weeks),Spleen*,Testis*,Thyroid - Epithelial cells,Umbilical cord - Mesenchymal stem cells,,,,,,,,,,,
P08235,,F,F,T,F,P08235,"Blood - Peripheral - natural killer (NK) lymphocytes,B-lymphocytes,lymphoblastoid cells*","Brain - Cerebellum,hippocampus*","Brain - Frontal,middle temporal gyrus,Ammon's horn,primary visual cortex","Colon - Colonic gland (crypt),rectum,sigmoid,mucosa,descending*",Colon - Rectum,Intestine - Mucosal cells*,Ovary,Pituitary gland,Prostate gland,Skin - Fibroblasts,Small intestine,Thyroid *,,,,,,,,,,,,
P08581,,F,F,T,F,P08581,"Airways - nasal epithelium cells and bronchial (primary,main stem) epithelium cells",Bladder - Urothelium (epithelium) cells*,Brain - Middle temporal gyrus*,"Colon - Terminal ileum,ascending","Eye - Conjunctival epithelium cells and mucosa cells,Pigmented layer of retina,palpebral conjunctiva*",Fallopian tube*,Heart - Microvascular - Endothelial cells,Kidney,Liver*,Liver - Hepatocyte and mucosa cells,Lung - Visceral pleura,Placenta*,Thyroid - Epithelial cells,Umbilical cord - Mast cells*,,,,,,,,,,
P08588,,F,F,T,F,P08588,Adipose - Abdominal*,Amniotic fluid,"Blood - Erythroid progenitor,lymphoblastoid cells*",Brain - Primary visual cortex*,"Brain - Superior frontal gyrus,emporal lobe,cerebral cortex,cerebellum","Heart - Left ventricular free wall myocyte,right atrial appendage myocyte*","Heart - Myocardium,right and left ventricles,right atrial appendage,myocytes",Liver - Portal triad,Lung - Microvascular endothelium,Parotid,Placenta,Placenta - Basal plate (37-40 weeks),Placenta - Chorionic villus,Spleen*,Umbillical cord - Vein,,,,,,,,,
